ComplaintId,CaseDisposition,WebsiteDocumentFileName,ClosedDate,totalPosted,totalClosedCase,LastPublishDate
201402707,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402707_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201402732,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402732_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201402818,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402818_RedactedClosingReport.pdf,01/30/2015,2642,14475,02/01/2024
201402854,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402854_RedactedClosingReport.pdf,05/11/2015,2642,14475,02/01/2024
201403223,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201403223_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201403369,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201403369_RedactedClosingReport.pdf,05/21/2015,2642,14475,02/01/2024
201403399,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201403399_RedactedClosingReport.pdf,04/14/2015,2642,14475,02/01/2024
201403417,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201403417_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201403575,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201403575_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201403847,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201403847_RedactedClosingReport.pdf,03/24/2015,2642,14475,02/01/2024
201403900,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201403900_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201403955,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201403955_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201404219,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404219_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201404609,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404609_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201404614,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404614_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201404667,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404667_RedactedClosingReport.pdf,03/24/2015,2642,14475,02/01/2024
201404671,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404671_RedactedClosingReport.pdf,05/11/2015,2642,14475,02/01/2024
201404710,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404710_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201404729,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404729_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201404763,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404763_RedactedClosingReport.pdf,04/28/2015,2642,14475,02/01/2024
201404787,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404787_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
201404833,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404833_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201404866,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404866_RedactedClosingReport.pdf,06/03/2015,2642,14475,02/01/2024
201404883,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404883_RedactedClosingReport.pdf,01/30/2015,2642,14475,02/01/2024
201404954,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404954_RedactedClosingReport.pdf,02/26/2015,2642,14475,02/01/2024
201404985,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201404985_RedactedClosingReport.pdf,03/06/2015,2642,14475,02/01/2024
201405057,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405057_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201405139,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405139_RedactedClosingReport.pdf,03/06/2015,2642,14475,02/01/2024
201405163,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405163_RedactedClosingReport.pdf,08/03/2015,2642,14475,02/01/2024
201405178,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405178_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201405312,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405312_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201405367,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405367_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201405376,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405376_RedactedClosingReport.pdf,03/19/2015,2642,14475,02/01/2024
201405436,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405436_RedactedClosingReport.pdf,03/06/2015,2642,14475,02/01/2024
201405511,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405511_RedactedClosingReport.pdf,01/08/2015,2642,14475,02/01/2024
201405533,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405533_RedactedClosingReport.pdf,02/26/2015,2642,14475,02/01/2024
201405549,Substantiated (Formalized Training),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405549_RedactedClosingReport.pdf,07/21/2015,2642,14475,02/01/2024
201405564,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201405564_RedactedClosingReport.pdf,06/04/2015,2642,14475,02/01/2024
